Department,Job_Title,Bargaining_Unit,Salary,Longevity_Pay,Overtime_Pay,Total_Pay,Hire_Date,Termination_Pay,Termination_Date
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,9200.0,12537.33,190702.83,2006/09/11 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),135692.2,16675.0,123659.04,309299.54,2006/09/11 00:00:00+00,0.0,
Parks,ASSISTANT SECURITY DIRECTOR,Association of Municipal Employees (AME-White Collar),35260.55,0.0,0.0,35684.55,2014/12/01 00:00:00+00,0.0,2014/10/16 00:00:00+00
Board Of Elections,ELECTION INSPECTOR,Temp,610.0,0.0,0.0,610.0,2022/09/01 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,536.0,0.0,0.0,536.0,2015/03/28 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,13225.67,122077.71,2016/10/03 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),23019.99,1458.33,413.98,28402.44,2004/05/05 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,17825.0,42380.98,248660.24,1993/12/06 00:00:00+00,0.0,
Health Services,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),58891.41,1750.0,95.01,63883.84,2007/08/13 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,5765.0,0.0,0.0,5765.0,2022/08/25 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,612.5,0.0,0.0,612.5,2022/11/01 00:00:00+00,0.0,
Audit & Control,AUDITOR,Association of Municipal Employees (AME-White Collar),52789.64,0.0,37.41,52939.47,2019/10/21 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),15644.15,1458.33,117.86,20332.85,2004/05/05 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),18000.44,2000.0,134.7,23755.21,1997/08/26 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1750.0,10168.1,79454.32,2004/08/16 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),112638.91,5175.0,16445.97,154120.98,2013/10/28 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),3715.77,1041.67,0.0,11606.0,2010/08/19 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),81230.27,0.0,7999.43,107549.09,2017/10/03 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),106867.33,1950.0,54792.95,175641.38,2010/09/20 00:00:00+00,0.0,
Probation,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),38099.03,0.0,3889.24,42100.69,2020/10/05 00:00:00+00,0.0,
Police,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,2600.0,0.0,68760.42,1979/03/05 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2590.0,0.0,0.0,2590.0,2022/05/01 00:00:00+00,0.0,
Social Services,COMMUNITY SERVICE WORKER,Association of Municipal Employees (AME-White Collar),34949.01,0.0,0.0,35061.43,2020/10/19 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1250.0,0.0,68792.22,2010/06/28 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,1427.0,0.0,0.0,1427.0,2000/04/15 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST I,Association of Municipal Employees (AME-White Collar),66500.2,1750.0,0.0,71721.62,2007/04/23 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),4777.2,9200.0,0.0,189825.2,2006/09/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,861.25,0.0,0.0,861.25,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1145.0,0.0,0.0,1145.0,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),12360.0,0.0,278.02,13564.72,2022/09/12 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,18942.0,0.0,110.25,19052.25,2022/12/08 00:00:00+00,0.0,2022/11/23 00:00:00+00
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),89240.26,3450.0,14047.5,124614.1,2016/10/03 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),52134.61,0.0,0.0,52605.03,2015/08/10 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,615.0,0.0,0.0,615.0,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1388.75,0.0,0.0,1388.75,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM II,Association of Municipal Employees (AME-White Collar),70735.81,1250.0,8770.66,81653.89,2010/07/19 00:00:00+00,0.0,
County Clerk,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),30802.79,1000.0,5418.0,47744.04,1994/02/28 00:00:00+00,7528.66,2022/06/29 00:00:00+00
Medical Examiners Office,FORENSIC SCIENTIST III (TR EV),Association of Municipal Employees (AME-White Collar),111540.41,2250.0,0.0,119474.83,1998/10/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1768.13,0.0,0.0,1768.13,2022/05/01 00:00:00+00,0.0,
Parks,PARK ATTENDANT I (PT),Temp,2400.0,0.0,0.0,2400.0,2022/10/24 00:00:00+00,0.0,2022/10/24 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,759.38,0.0,0.0,759.38,2022/05/01 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC IV,Association of Municipal Employees (AME-Blue Collar),72902.06,2600.0,14372.87,93690.35,1988/09/19 00:00:00+00,0.0,
Parks,LIFEGUARD (OCEAN WATER PT),Smith Point Lifeguard Association,8238.0,0.0,564.0,8802.0,2022/05/16 00:00:00+00,0.0,2022/09/23 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,11500.0,57001.91,237467.41,2002/04/22 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,418.75,0.0,0.0,418.75,2010/05/15 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),90638.7,4025.0,59981.86,186952.88,2015/09/14 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),14501.52,0.0,197.41,16540.64,2010/08/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORD ASSISTNT,Temp,5625.0,0.0,0.0,5625.0,2021/10/23 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),14437.53,0.0,107.47,16396.01,2011/05/04 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),18501.61,0.0,133.99,20595.36,2011/05/04 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),30977.0,15525.0,16557.19,157713.96,1995/12/29 00:00:00+00,67189.3,2022/03/14 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),57358.69,0.0,17400.02,81139.84,2018/05/14 00:00:00+00,0.0,
Civil Service,EXAMINER III (PT),Temp,402.0,0.0,0.0,402.0,2021/12/20 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM V,Association of Municipal Employees (AME-White Collar),116492.23,2400.0,0.0,124833.65,1991/10/07 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER IV,Correction Officers Association (COA),148494.33,3250.0,59152.19,237295.9,2000/08/07 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,12174.4,121026.44,2016/10/03 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),12327.35,0.0,0.0,12949.07,2021/12/10 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),164469.8,21550.0,34616.82,252016.08,1986/07/15 00:00:00+00,0.0,
Social Services,CASEWORKER (SPANISH SPKG),Association of Municipal Employees (AME-White Collar),71030.7,1250.0,276.89,73495.01,2010/07/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,807.5,0.0,0.0,807.5,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,4346.07,131317.09,2015/09/14 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,601.88,0.0,0.0,601.88,2022/09/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1031.88,0.0,0.0,1031.88,2022/05/01 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66550.78,2250.0,5210.44,77369.64,1995/07/17 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),11817.78,0.0,86.73,13370.43,2016/08/29 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),59310.4,1250.0,6977.94,70991.76,2009/03/30 00:00:00+00,0.0,
Sheriff,SENIOR ACCOUNT CLERK,Association of Municipal Employees (AME-White Collar),59499.0,1750.0,9812.3,75477.72,2006/05/08 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.8,1250.0,0.0,68792.22,2010/06/01 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),173116.1,6325.0,16053.64,220295.76,2011/12/26 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),11258.83,0.0,78.75,12524.14,2018/09/28 00:00:00+00,0.0,
Public Works,HEAVY EQUIPMENT OPERATOR,Association of Municipal Employees (AME-Blue Collar),58109.8,1750.0,16976.0,80423.57,2004/07/26 00:00:00+00,0.0,
Traffic Violations Bureau,TRAFFIC COURT SPECIALIST,Association of Municipal Employees (AME-White Collar),34694.9,0.0,190.72,34885.62,2022/11/28 00:00:00+00,0.0,2022/10/03 00:00:00+00
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2197.5,0.0,0.0,2197.5,2021/06/28 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),25350.03,1350.0,6887.7,81389.54,2016/05/01 00:00:00+00,0.0,
Board Of Elections,ELECTION INSPECTOR,Temp,4276.25,0.0,0.0,4276.25,2022/09/01 00:00:00+00,0.0,2021/12/28 00:00:00+00
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9593.61,0.0,970.36,11600.89,2022/09/19 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,863.75,0.0,0.0,863.75,2022/05/01 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),73370.63,1350.0,24486.33,105729.7,2015/08/03 00:00:00+00,0.0,
District Attorney,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,2400.0,0.0,66209.42,1994/07/18 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),177444.01,6900.0,60438.46,269583.49,2010/06/28 00:00:00+00,0.0,
Social Services,PROGRAMMER ANALYST,Association of Municipal Employees (AME-White Collar),94358.39,2250.0,0.0,101441.81,1995/10/05 00:00:00+00,0.0,
County Clerk,COUNTY CLERK,Management,197681.0,0.0,0.0,214319.38,2016/01/01 00:00:00+00,0.0,2014/12/31 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),53790.4,0.0,3730.97,71954.53,2021/04/12 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),56197.33,0.0,19179.44,81909.68,2011/10/15 00:00:00+00,0.0,
County Executive,NEIGHBORHOOD AIDE,Association of Municipal Employees (AME-White Collar),58109.8,1750.0,0.0,62875.22,2007/05/21 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,,2797.5,0.0,0.0,2797.5,2022/07/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,883.75,0.0,0.0,883.75,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,14375.0,132817.94,322782.44,2005/09/12 00:00:00+00,0.0,
Parks,LABOR CREW LEADER,Association of Municipal Employees (AME-Blue Collar),42758.3,0.0,7085.47,50687.19,2008/05/01 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF IV,Deputy Sheriffs PBA (DSPBA),189806.95,3750.0,0.0,229334.35,1994/06/23 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9584.11,0.0,765.84,11386.87,2022/09/19 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),148359.1,9775.0,9003.52,189386.67,2005/09/12 00:00:00+00,0.0,
Police,LIEUTENANT (POLICE),Superior Officers Association (SOA),22103.5,16100.0,5765.2,242599.44,1994/06/20 00:00:00+00,0.0,
Public Works,MAINTENANCE MECHANIC V,Association of Municipal Employees (AME-Blue Collar),78659.38,2250.0,15326.11,101226.91,2001/10/29 00:00:00+00,0.0,
Social Services,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),15713.1,0.0,0.0,15713.1,2022/09/06 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,827.5,0.0,0.0,827.5,2022/05/01 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,600.0,0.0,0.0,600.0,2022/11/14 00:00:00+00,0.0,
County Executive,CASEWORKER TRAINEE,Association of Municipal Employees (AME-White Collar),15561.0,0.0,0.0,15561.0,2022/01/31 00:00:00+00,0.0,2022/06/10 00:00:00+00
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,2679.38,0.0,0.0,2679.38,2022/05/01 00:00:00+00,0.0,
Health Services,PUBLIC HEALTH SANITARIAN,Association of Municipal Employees (AME-White Collar),62163.2,0.0,0.0,62843.62,2018/06/11 00:00:00+00,0.0,
Public Works,LABORER (37.50 HOURS),Temp,15940.6,0.0,505.8,16446.4,2023/01/03 00:00:00+00,0.0,2022/12/16 00:00:00+00
Police,DETECTIVE LIEUTENANT (POLICE),Superior Officers Association (SOA),202418.8,18100.0,44471.77,281851.97,1994/06/20 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,887.76,0.0,0.0,887.76,2022/05/01 00:00:00+00,0.0,
Police,SR MICROGRAPHICS TECH,Association of Municipal Employees (AME-White Collar),69684.0,2400.0,0.0,75843.42,1996/09/23 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),62671.8,0.0,5309.69,84319.47,2019/10/21 00:00:00+00,0.0,
Police,SENIOR RESEARCH ANALYST,Association of Municipal Employees (AME-White Collar),78659.4,1750.0,9281.28,93804.1,2003/04/29 00:00:00+00,0.0,
Social Services,SOCIAL SERVICES EXAM I,Association of Municipal Employees (AME-White Collar),66674.79,1250.0,1888.91,71975.12,2009/11/30 00:00:00+00,0.0,
Public Works,CUSTODIAL WORKER III,Association of Municipal Employees (AME-Blue Collar),73342.6,2600.0,4079.4,84107.42,1985/08/26 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,813.75,0.0,0.0,813.75,2022/05/01 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),87002.01,1250.0,683.9,92491.33,2008/02/25 00:00:00+00,0.0,
Public Works,HIGH VOLTAGE SPECIALIST,Association of Municipal Employees (AME-Blue Collar),60607.2,1250.0,29340.49,116775.91,2008/02/11 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD (Temporary),Temp,245.0,0.0,0.0,245.0,2022/08/25 00:00:00+00,0.0,2022/09/07 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,6325.0,8277.86,172528.36,2011/12/26 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,16675.0,29387.02,215027.52,1993/12/06 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),157287.5,10925.0,34802.79,227460.99,2006/09/11 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1078.63,0.0,0.0,1078.63,2022/05/01 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),53790.4,0.0,4249.31,62753.39,2021/04/12 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,5902.5,0.0,0.0,5902.5,2021/11/03 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),87525.7,3450.0,41555.65,157031.69,2016/10/03 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",PROGRAM AIDE I,Temp,2325.0,0.0,0.0,2325.0,2022/07/05 00:00:00+00,0.0,2021/08/21 00:00:00+00
Board Of Elections,ASSISTANT ELECTION CLERK 5,Board of Elections,52638.03,0.0,12190.03,65632.48,2017/09/18 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),97863.9,4025.0,10830.95,131177.97,2010/11/29 00:00:00+00,0.0,
Civil Service,PRIN PERSONNEL ANALYST,Association of Municipal Employees (AME-White Collar),106499.61,1750.0,0.0,113770.03,2003/04/14 00:00:00+00,0.0,
Police,DETECTIVE (POLICE),Suffolk Detectives Association (SDA),100524.92,4025.0,19805.66,144158.53,2015/09/14 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),42562.7,0.0,1053.78,48658.34,2022/01/18 00:00:00+00,0.0,
Police,POLICE OFFICER (SPANISH SPK),Police Benevolent Association (PBA),67614.2,0.0,15984.8,118014.8,2017/10/23 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),157247.88,16675.0,45011.24,273428.13,1993/03/29 00:00:00+00,0.0,
District Attorney,PARALEGAL,Association of Municipal Employees (AME-White Collar),41171.06,0.0,0.0,41283.48,2021/06/28 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),9593.61,0.0,1556.68,12187.21,2022/09/19 00:00:00+00,0.0,
Sheriff,SYSTEMS ANAL SUPVR(C,Association of Municipal Employees (AME-White Collar),128930.4,2600.0,0.0,138078.82,1992/04/13 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),124674.1,9775.0,14807.26,287318.97,2005/09/12 00:00:00+00,95196.66,2022/10/30 00:00:00+00
Police,POLICE OFFICER,Police Benevolent Association (PBA),63526.8,0.0,11799.27,91696.15,2010/11/15 00:00:00+00,0.0,
Traffic Violations Bureau,SECURITY GUARD (PT),Temp,1100.0,0.0,0.0,1100.0,2022/10/18 00:00:00+00,0.0,2022/11/09 00:00:00+00
District Attorney,PRINCIPAL ASST DIST ATTY,Management,160929.2,2400.0,0.0,178036.62,1996/04/29 00:00:00+00,0.0,
Police,OFFICE SYSTEMS ANALYST I,Association of Municipal Employees (AME-White Collar),80932.2,2250.0,17423.97,105209.59,1998/11/23 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,916.88,0.0,0.0,916.88,2022/05/01 00:00:00+00,0.0,
Parks,PARK RANGER I (SEASONAL),Temp,5458.14,0.0,0.0,5458.14,2023/01/23 00:00:00+00,0.0,
Sheriff,DEPUTY SHERIFF I,Deputy Sheriffs PBA (DSPBA),100647.24,3250.0,126825.29,245792.61,1999/10/11 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),47771.1,0.0,808.88,56736.48,2021/10/25 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),45371.63,0.0,19005.94,70241.54,2021/05/03 00:00:00+00,0.0,
Public Works,PUBLIC WORKS SPEC PROJECTS SUP,Association of Municipal Employees (AME-White Collar),38830.93,0.0,0.0,39074.93,2016/09/12 00:00:00+00,0.0,2016/02/26 00:00:00+00
"Fire, Rescue & Emergency Svcs",EMERG SVCS DISPATCHER II,Association of Municipal Employees (AME-Blue Collar),81496.67,1250.0,56179.08,146483.62,2012/12/24 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,897.5,0.0,0.0,897.5,2022/05/01 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1345.0,0.0,0.0,1345.0,2022/05/01 00:00:00+00,0.0,
Social Services,SENIOR CASEWORKER,Association of Municipal Employees (AME-White Collar),28236.99,600.0,0.0,60740.53,1997/02/03 00:00:00+00,27940.39,2022/04/24 00:00:00+00
County Clerk,PRINCIPAL OFFICE ASSISTANT,Association of Municipal Employees (AME-White Collar),60657.0,1750.0,0.0,65556.42,2007/11/26 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),147534.1,6900.0,23944.66,189695.2,2010/06/28 00:00:00+00,0.0,
Legislature,LEGISLATIVE AIDE I,Management,55617.2,0.0,0.0,55777.62,2019/05/13 00:00:00+00,0.0,
Police,SCHOOL CROSSING GUARD,Association of Municipal Employees (AME-Blue Collar),18128.74,1875.0,134.7,23479.71,2002/08/28 00:00:00+00,0.0,
Sheriff,CORRECTION OFFICER I,Correction Officers Association (COA),109297.13,1350.0,19122.41,138987.69,2010/10/18 00:00:00+00,0.0,
Public Works,STORM RESPONSE EQUIPMENT OP,,1300.0,0.0,0.0,1300.0,2023/02/27 00:00:00+00,0.0,2022/02/07 00:00:00+00
"Labor, License & Consumer Affairs",LABOR SPECIALIST I,Association of Municipal Employees (AME-White Collar),72520.8,1750.0,0.0,78092.22,2006/05/08 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,1410.51,0.0,0.0,1410.51,2022/05/01 00:00:00+00,0.0,
Police,POLICE COMM SYSTEMS DIR,Association of Municipal Employees (AME-White Collar),144591.8,2400.0,0.0,154328.22,1995/10/30 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",LABOR SPECIALIST I,Association of Municipal Employees (AME-White Collar),72520.79,1750.0,0.0,78087.21,2004/10/25 00:00:00+00,0.0,
Board Of Elections,ABSENTEE BALLOT COORDINATOR,Temp,707.5,0.0,0.0,707.5,2022/05/01 00:00:00+00,0.0,
Public Works,GRANTS TECHNICIAN,Association of Municipal Employees (AME-White Collar),51741.21,0.0,0.0,52342.63,2018/04/23 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),137247.1,15525.0,90598.79,275089.29,1995/03/13 00:00:00+00,0.0,
Board Of Elections,JR ASSISTANT ELECTION CLERK 7,Board of Elections,46022.16,0.0,13247.76,59382.34,2021/06/28 00:00:00+00,0.0,
Public Works,DIRECTOR TRAFFIC SAFETY,Association of Municipal Employees (AME-White Collar),125537.4,1750.0,0.0,134371.82,2004/08/23 00:00:00+00,0.0,
"Labor, License & Consumer Affairs",SENIOR NEIGHBORHOOD AIDE,Association of Municipal Employees (AME-White Collar),69690.01,2400.0,8552.1,84244.53,1986/03/10 00:00:00+00,0.0,
Police,DETECTIVE SERGEANT (POLICE),Superior Officers Association (SOA),181833.5,16675.0,49721.43,275204.61,1993/12/06 00:00:00+00,0.0,
Police,POLICE OFFICER,Police Benevolent Association (PBA),42562.7,0.0,652.02,48256.58,2022/01/18 00:00:00+00,0.0,
Police,SERGEANT (POLICE),Superior Officers Association (SOA),173216.1,16675.0,47302.62,270015.52,1993/03/29 00:00:00+00,0.0,
